Identifier,battery/assualt,burglary,homicide,kidnapping,robbery,sexual offense,theft,theft from a vehicle,theft of cattle,nhs,ahs,comp,mcomp,prox,cohe,nmi,nmmi,poverty_rate,active_unoccupied,aver_income,PI_type,female_rate,male_to_female_ratio,female_headed_household_rate,male_to_female_household_ratio,adult_rate,nev_mar_rate,foreign_ent_rate,no_spanish_rate,popu
01001,3318.0,1958.0,149.0,6.0,3244.0,324.0,88.0,1876.0,41.0,47,11.75,0.30633608338568463,0.29161445389221513,0.545291329149907,0.2806970300961458,0.2808658017008244,0.27159326846259396,2.26448,6.2378699840343765,3529.83,"PI<40%,1~4999",51.5151629214188,0.9412,20.07632333800877,3.9809917043265903,63.70196107953476,37.12260605688555,23.750709769863075,0.0005018757606554497,797010
01002,88.0,21.0,10.0,1.0,38.0,6.0,0.0,26.0,7.0,7,1.1293242793559501,1.8210175948155891,1.2970229549238073,0.09436438094367121,0.006919759951256959,0.006982206900317482,0.012801391375967336,8.040700000000001,7.591312242475033,1360.06,"PI<40%,1~4999",50.51437615404907,0.9795999999999999,13.34566188935121,6.493071593533488,57.418886837246106,34.9690594059406,11.54093989556716,0.0,45492
01003,34.0,25.0,10.0,0.0,32.0,15.0,6.0,11.0,1.0,12,2.519280234186767,0.35182447814678425,0.3350183259566564,0.9439235073352175,0.8575263711725081,0.8578668491251618,0.8621040360758562,7.24124,9.704816157431383,1733.43,"PI<40%,1~4999",51.51100930988621,0.9412999999999999,18.71356932699247,4.343716009097202,60.203930840845274,38.85157150734372,12.101149599726828,0.001847199645337668,54136
01004,24.0,5.0,4.0,0.0,19.0,7.0,0.0,18.0,7.0,7,1.45850700270393,0.534060057909436,0.5286712509916456,0.9397893797669212,0.8437586393334157,0.8444140060392444,0.8444140060393731,4.769,8.528740402573149,1804.29,"PI<40%,1~4999",51.29637016354208,0.9495,12.470071827613726,7.0192,57.85799760670124,34.45051384131099,9.250805585392051,0.0,15042
01005,297.0,228.0,17.0,0.0,213.0,31.0,25.0,70.0,15.0,14,2.9293363633625766,0.7881186919169931,0.692044810558531,0.30052791447883725,0.07566966596752468,0.07590498648166336,0.08809953945953224,6.08404,4.92432913646191,2404.17,"PI<40%,1~4999",50.70790239983934,0.9721,14.328048301095645,5.979317622230039,57.34109850386585,35.61240531656424,16.600130356851885,0.0,99590
01006,81.0,53.0,11.0,0.0,93.0,4.0,4.0,17.0,18.0,2,0.15087362720971556,0.12882538196499224,0.12882538196499224,0.9763594315791062,0.864765251438929,0.8698987384514245,0.8420017119818333,4.1418,8.366908407198496,2483.32,"PI<40%,1~4999",51.817877788925514,0.9298000000000001,19.220636137191033,4.2027414330218065,58.671348717213704,37.97229219143577,11.203479942000968,0.0,41862
01007,105.0,49.0,11.0,0.0,88.0,13.0,7.0,32.0,16.0,1,0.13281800019703247,0.0,0.0,0.8841578640660714,0.6507383560289592,0.6670844069435181,0.6670844069435194,9.163440000000001,9.252710302046495,2157.07,"PI<40%,1~4999",51.039547562861095,0.9593,16.161369193154034,5.187594553706505,58.027504272113276,36.95350352761171,7.74398285525882,0.0,49156
01008,28.0,19.0,0.0,0.0,12.0,3.0,1.0,1.0,4.0,7,1.618455459458647,0.4845123730018505,0.46839705866677034,0.9433837052229834,0.8618766235899157,0.8623828574466987,0.8131335751180938,7.3408299999999995,14.66992665036675,1830.86,"PI<40%,1~4999",52.11417742508587,0.9189,16.849249821386046,4.934982332155477,57.19530972403174,37.0779113819799,4.123337363966143,0.0,8443
01009,32.0,16.0,7.0,0.0,20.0,1.0,1.0,7.0,1.0,3,0.521534396548416,4.0180808520657285,4.833760096264842,0.06544347565445802,0.0044653999365458765,0.004552539378756983,0.003754781205928478,6.03376,10.307188523312021,1634.39,"PI<40%,1~4999",51.18974984746797,0.9534999999999999,14.953223510270492,5.687521251275077,57.40797234085825,35.18623827125391,5.6316982687551524,0.0,19668
01010,35.0,21.0,4.0,0.0,19.0,6.0,0.0,8.0,4.0,8,1.6171145463007859,0.5355385171764026,0.519478945767702,0.9243518542622775,0.810619304982021,0.8113669571169261,0.8113669571169249,9.54488,6.616515643699778,1499.43,"PI<40%,1~4999",49.15551306564691,1.0344,12.837983993078087,6.7893850042123,58.24835351603994,35.82002051883336,6.471221086605702,0.0,18828
