cname,CPOB_CCDGO,population
"BOGOTÁ, BOGOTÁ, D.C.",11001000,6824507
"MEDELLÍN, ANTIOQUIA",05001000,2175681
"SANTIAGO DE CALI, VALLE DEL CAUCA",76001000,2083171
"BARRANQUILLA, ATLÁNTICO",08001000,1142312
"CARTAGENA DE INDIAS, BOLÍVAR",13001000,842228
"SAN JOSÉ DE CÚCUTA, NORTE DE SANTANDER",54001000,567664
"BUCARAMANGA, SANTANDER",68001000,509216
"IBAGUÉ, TOLIMA",73001000,468647
"SOLEDAD, ATLÁNTICO",08758000,460996
"SOACHA, CUNDINAMARCA",25754000,396555
"SANTA MARTA, MAGDALENA",47001000,385122
"PEREIRA, RISARALDA",66001000,371239
"BELLO, ANTIOQUIA",05088000,358139
"VILLAVICENCIO, META",50001000,356464
"MANIZALES, CALDAS",17001000,353312
"SAN JUAN DE PASTO, NARIÑO",52001000,312377
