cname,population,cve_sun
"Valle de Mexico, Distrito Federal",8851080,13
"Guadalajara, Jalisco",4434878,21
"Monterrey, Nuevo León",4106054,31
"Toluca de Lerdo, México",1936126,24
"Tijuana, Baja California",1751430,2
"Juárez, Chihuahua",1332131,11
"Mexicali, Baja California",936826,3
"Cuernavaca, Morelos",924964,28
"Acapulco de Juárez, Guerrero",863431,17
"Chihuahua, Chihuahua",852533,12
"Morelia, Michoacán de Ocampo",829625,25
"Villahermosa, Tabasco",755425,41
"Cancún, Quintana Roo",677379,37
"Culiacán Rosales, Sinaloa",675773,99
"Oaxaca de Juárez, Oaxaca",607963,32
"Nuevo Laredo, Tamaulipas",384033,45
