CPOB_CCDGO,Delito_Abigeato,Delito_Amenazas,Delito_Homicidio,Delito_Hurto_Automotores,Delito_Hurto_Celulares,Delito_Hurto_Comercio,Delito_Hurto_De_Motocicletas,Delito_Hurto_Personas,Delito_Hurto_Residencias,Delito_Pirateria_Terrestre,Delito_Secuestro,Delito_Sexuales,Delito_Terrorismo,Delito_Violencia_Intrafamiliar
05001000,4.0,1049,649,1185,2695,1366,4673,4950,523,16.0,13.0,312,,2912
05088000,2.0,90,97,182,216,192,443,318,58,3.0,,43,,306
11001000,23.0,1776,1335,2295,9886,6322,2788,28121,4859,31.0,30.0,1196,9.0,8756
08758000,,126,105,26,475,79,246,625,79,,,146,,559
08001000,,1185,340,268,2307,516,495,4442,490,2.0,1.0,419,,1250
25754000,1.0,58,193,17,168,157,41,406,53,8.0,1.0,61,,223
13001000,1.0,787,287,19,872,258,298,1091,226,,,133,,298
17001000,4.0,87,101,17,811,88,52,1717,227,,1.0,114,,250
47001000,2.0,350,95,10,1221,442,163,1195,322,,1.0,140,1.0,603
50001000,36.0,846,139,43,1583,611,525,2680,830,,5.0,366,10.0,1242
52001000,11.0,713,57,164,992,142,361,1814,268,2.0,3.0,109,1.0,482
54001000,1.0,625,182,88,683,322,693,1396,262,,5.0,312,2.0,1865
66001000,6.0,170,161,74,771,847,170,1806,379,,2.0,303,,1306
68001000,2.0,437,106,8,1244,476,164,2761,263,,,328,1.0,1877
73001000,22.0,291,92,22,1185,496,172,1961,526,1.0,3.0,137,1.0,879
76001000,46.0,1285,1545,1560,3815,1006,2588,9134,780,3.0,25.0,810,1.0,3269
