cname,total_crime,theft_residence,theft_people,theft_vehicle,theft_fights
Armenia,0.174371308,0.037355832,0.100856907,0.109639022,0.028806824
Barranquilla - Soledad,0.144214331,0.044887765,0.090390823,0.107323771,0.013918176
Bogotá D.C. - Soacha,0.25245016,0.031608315,0.182060953,0.152490002,0.031647792
Bucaramanga,0.119108443,0.023241136,0.071082958,0.114482025,0.007898641
Cali - Palmira,0.213204148,0.040696952,0.121001203,0.153431934,0.024892279
Cartagena,0.072516244,0.030725153,0.038479034,0.051569204,0.004998366
Cúcuta,0.121998989,0.028834512,0.060505388,0.079007725,0.016816126
Ibagué,0.196194931,0.061930622,0.108249776,0.101004177,0.026126517
Manizales,0.151064234,0.03764365,0.094971378,0.06006086,0.020277212
Medellín - Envigado - Itagüí,0.184330913,0.021367679,0.117237547,0.092194372,0.029977402
Montería,0.17105051,0.086573757,0.066938442,0.067375811,0.013278224
Neiva,0.177774791,0.048471197,0.107236947,0.073479813,0.01774078
Pasto,0.338325911,0.048528543,0.256963168,0.190515952,0.037379985
Pereira,0.147807039,0.026890783,0.096202855,0.058777158,0.019556687
Popayán,0.231331024,0.053030028,0.147664029,0.11294837,0.018201364
San Andrés,0.084782734,0.043002993,0.029360779,0.036480706,0.00799657
Santa Marta,0.138436157,0.047859048,0.074830146,0.055931542,0.012686949
Sincelejo,0.113679841,0.044220609,0.064461562,0.039077978,0.007898641
Valledupar,0.134362993,0.052655227,0.067955021,0.056532624,0.009055725
Villavicencio,0.206131486,0.057387785,0.125185943,0.083375873,0.016683062
