cname,theft_vehicle,theft_residence,theft_street_pubtrans_atm_bank,theft_other_pickpocketing,fraud,Extortion,verbal_threats,injuries,other_kidnap_sexual,total_crime
"Valle de Mexico, Distrito Federal",0.036392508,0.00695836,0.126542524,0.010325859,0.040130357,0.041384215,0.017395391,0.010239541,0.016979171,0.306347926
"Guadalajara, Jalisco",0.056626586,0.015009207,0.06732316,0.009375681,0.037127966,0.04762927,0.020453099,0.014040972,0.025263378,0.292849319
"Monterrey, Nuevo León",0.047750468,0.016203878,0.040220124,0.013123062,0.022784893,0.086681276,0.010659382,0.013031246,0.008696671,0.259151
"Toluca de Lerdo, México",0.015004705,0.005288912,0.046009919,0.005385497,0.009648649,0.022793455,0.006065204,0.003679513,0.00602905,0.119904903
"Tijuana, Baja California",0.03752762,0.023384891,0.043149312,0.007291756,0.018344439,0.044820518,0.005542328,0.007449912,0.004538577,0.192049354
"Juárez, Chihuahua",0.097047513,0.041035003,0.094852533,0.012573838,0.01829775,0.109217487,0.027344908,0.021297455,0.007048856,0.428715344
"Mexicali, Baja California",0.052079041,0.033414956,0.014204345,0.019452919,0.01056226,0.04129689,0.019823318,0.015643246,0.009105213,0.215582189
"Cuernavaca, Morelos",0.016643891,0.009874979,0.07754464,0.011536665,0.017625551,0.046036386,0.012941044,0.007359205,0.008814397,0.208376758
"Acapulco de Juárez, Guerrero",0.012871903,0.008700174,0.09023651,0.008331876,0.005172388,0.056661158,0.008785879,0.005819805,0.008112982,0.204692674
"Chihuahua, Chihuahua",0.065708893,0.026753217,0.035698325,0.017930098,0.02923054,0.076797027,0.027390142,0.013950193,0.010760874,0.304219309
"Morelia, Michoacán de Ocampo",0.025433178,0.011119482,0.036070514,0.008711165,0.01265391,0.044151273,0.007601025,0.013428959,0.006964592,0.166134097
"Villahermosa, Tabasco",0.014818149,0.01150743,0.036952709,0.015232485,0.014628851,0.035732204,0.01205017,0.004666247,0.008419102,0.154007347
"Cancún, Quintana Roo",0.03135763,0.031238051,0.078695974,0.0170333,0.02894982,0.057005015,0.028372595,0.006570915,0.01258675,0.29181005
"Culiacán Rosales, Sinaloa",0.03645159,0.016443391,0.065590072,0.02839267,0.035297356,0.065450972,0.025810442,0.009359652,0.009988561,0.292784707
"Oaxaca de Juárez, Oaxaca",0.021723361,0.008418275,0.096810168,0.015402253,0.019690343,0.05825519,0.01532988,0.014160401,0.019863051,0.269652923
"Nuevo Laredo, Tamaulipas",0.044089961,0.020052964,0.021276817,0.00692128,0.009452313,0.05334177,0.013496236,0.007171259,0.010681374,0.186483974
