,all,nt1,nt2,nt12,nt1pct,nt2pct,nt12pct
2009-10-01,23626648,7170665,2818325,2818031,0.30349904057486277,0.11928585891659282,0.11927341534017014
2009-10-02,25808008,8076570,3130978,3130671,0.3129482135932382,0.12131808080654656,0.12130618527396612
2009-10-03,23379154,7222171,2956251,2945389,0.3089149846910628,0.1264481597580477,0.12598355783104898
2009-10-04,17625278,5283516,2388071,2381340,0.2997692291718746,0.13549125296066253,0.1351093582750865
2009-10-05,23250686,7243110,2960932,2939533,0.31152242131694524,0.1273481565232097,0.12642779658200193
2009-10-06,22753220,6954116,2779443,2769824,0.3056321698643093,0.12215602890491983,0.12173327555396554
2009-10-07,23187821,6848344,2712127,2711912,0.2953422833477971,0.1169634266195172,0.11695415451068042
2009-10-08,23209684,6829834,2707093,2706955,0.29426656562838166,0.11663635747905918,0.11663041168505353
2009-10-09,24942124,7579890,2953786,2953587,0.303899138661968,0.11842560000102638,0.11841762153054808
2009-10-10,22805580,6911231,2838071,2837533,0.3030499991668706,0.12444634164094928,0.12442275092323896
2009-10-11,17582121,5003986,2224327,2224027,0.2846065045280942,0.1265107321238433,0.12649366933602607
2009-10-12,22894916,6774678,2749464,2749112,0.2959031603348097,0.12009059129109712,0.12007521669876405
2009-10-13,22249198,6740255,2684948,2684602,0.3029437285784413,0.12067616999048685,0.12066061886814976
2009-10-14,22186299,6743152,2659178,2658899,0.3039331616327717,0.11985676385232165,0.1198441885237371
2009-10-15,24018056,7132606,2801977,2801642,0.2969684973671475,0.11666127350190207,0.11664732566199362
2009-10-16,26620293,7849743,3043988,3043254,0.2948781593050084,0.11434840330269844,0.11432083035299424
2009-10-17,23984211,6989643,2850044,2849831,0.2914268474372578,0.11883000862525768,0.11882112778277343
2009-10-18,17844926,4998774,2191940,2191845,0.2801229884618182,0.12283267523776786,0.12282735159563005
2009-10-19,23277718,6855430,2710127,2709854,0.2945061023593464,0.11642580256363617,0.11641407460989088
2009-10-20,22336854,6538477,2488248,2487938,0.2927214817270149,0.11139652880392198,0.11138265039472434
2009-10-21,22169192,6534531,2505446,2505251,0.29475729201136425,0.11301476391200906,0.11300596792160941
2009-10-22,22510376,6786028,2639052,2638812,0.30146222346530327,0.11723713544367273,0.11722647369373128
2009-10-23,24648076,7576670,2917939,2915671,0.3073939726573384,0.1183840475013141,0.11829203220567804
2009-10-24,22951495,6856108,2782159,2781986,0.2987216301160338,0.12121907527156728,0.12121153763621934
