,all,nt1,nt2,nt12,nt1pct,nt2pct,nt12pct
2010-03-01,12956218,12956218,3297121,3297121,1.0,0.25448174768285003,0.25448174768285003
2010-03-02,12484558,12484558,3102441,3102441,1.0,0.24850226976397563,0.24850226976397563
2010-03-03,12420953,12420953,3116310,3116310,1.0,0.25089137685328977,0.25089137685328977
2010-03-04,12226129,12226129,3020030,3020030,1.0,0.24701440660408538,0.24701440660408538
2010-03-05,12852402,12852402,3221591,3221591,1.0,0.25066061581329313,0.25066061581329313
2010-03-06,11760599,11760599,3193066,3193066,1.0,0.27150538845853006,0.27150538845853006
2010-03-07,9495718,9495718,2765693,2765693,1.0,0.2912568591443006,0.2912568591443006
2010-03-08,12414884,12414884,3125855,3125855,1.0,0.2517828599928924,0.2517828599928924
2010-03-09,12463213,12463213,3098678,3098678,1.0,0.24862593618515547,0.24862593618515547
2010-03-10,12453083,12453083,3081588,3081588,1.0,0.2474558308171559,0.2474558308171559
2010-03-11,12471617,12471617,3074335,3074335,1.0,0.24650652758178832,0.24650652758178832
2010-03-12,13436011,13436011,3372212,3372212,1.0,0.25098312289265023,0.25098312289265023
2010-03-13,12419358,12419358,3407861,3407861,1.0,0.27439912755554674,0.27439912755554674
2010-03-14,9894339,9894339,2978396,2978396,1.0,0.301020209637046,0.301020209637046
2010-03-15,10671848,10671848,2929598,2929598,1.0,0.27451646612657904,0.27451646612657904
2010-03-16,12822910,12822910,3118876,3118876,1.0,0.24322684944369102,0.24322684944369102
2010-03-17,13039581,13039581,3342674,3342674,1.0,0.2563482676322192,0.2563482676322192
2010-03-18,12985308,12985308,3248208,3248208,1.0,0.2501448560172774,0.2501448560172774
2010-03-19,13987805,13987805,3632443,3632443,1.0,0.25968641970630846,0.25968641970630846
2010-03-20,12961805,12961805,3655008,3655008,1.0,0.28198294913401334,0.28198294913401334
2010-03-21,10377235,10377235,3099085,3099085,1.0,0.29864265384758076,0.29864265384758076
2010-03-22,13125257,13125257,3387445,3387445,1.0,0.25808599404948795,0.25808599404948795
2010-03-23,12964634,12964634,3299731,3299731,1.0,0.2545178676081407,0.2545178676081407
2010-03-24,12710471,12710471,3217007,3217007,1.0,0.2530989606915432,0.2530989606915432
2010-03-25,12951042,12951042,3365316,3365316,1.0,0.2598490530723319,0.2598490530723319
2010-03-26,13337533,13337533,3513951,3513951,1.0,0.2634633406342837,0.2634633406342837
2010-03-27,12395507,12395507,3586272,3586272,1.0,0.28932031582088574,0.28932031582088574
2010-03-28,9755186,9755186,3073010,3073010,1.0,0.31501295823575276,0.31501295823575276
2010-03-29,12030692,12030692,3267028,3267028,1.0,0.2715577790537735,0.2715577790537735
2010-03-30,11948451,11948451,3211593,3211593,1.0,0.26878739344539304,0.26878739344539304
2010-03-31,12322595,12322595,3311908,3311908,1.0,0.2687670900488087,0.2687670900488087
2010-04-01,10277689,10277689,3079916,3079916,1.0,0.2996700912043554,0.2996700912043554
2010-04-02,8358176,8358176,2682362,2682362,1.0,0.3209267189396347,0.3209267189396347
2010-04-03,8719753,8719753,2784709,2784709,1.0,0.31935640837532897,0.31935640837532897
2010-04-04,8205515,8205515,2660836,2660836,1.0,0.3242741010162068,0.3242741010162068
2010-04-05,11471649,11471649,3174284,3174284,1.0,0.2767068622828331,0.2767068622828331
2010-04-06,10906093,10906093,2749351,2749351,1.0,0.2520931189565319,0.2520931189565319
2010-04-07,11223702,11223702,3027124,3027124,1.0,0.2697081586806207,0.2697081586806207
2010-04-08,11281500,11281500,2987126,2987126,1.0,0.2647809245224483,0.2647809245224483
2010-04-09,11960825,11960825,3158762,3158762,1.0,0.26409231804662303,0.26409231804662303
2010-04-10,11321161,11321161,3226457,3226457,1.0,0.2849934737258838,0.2849934737258838
2010-04-11,9144340,9144340,2784674,2784674,1.0,0.3045243287104373,0.3045243287104373
2010-04-12,11750882,11750882,3120773,3120773,1.0,0.265577766843374,0.265577766843374
2010-04-13,11494301,11494301,2995794,2995794,1.0,0.26063298672968455,0.26063298672968455
2010-04-14,11558878,11558878,2981905,2981905,1.0,0.25797529829452304,0.25797529829452304
2010-04-15,11145770,11145770,2943948,2943948,1.0,0.2641314148775724,0.2641314148775724
2010-04-16,12884652,12884652,3443114,3443114,1.0,0.2672259988085049,0.2672259988085049
2010-04-17,11884068,11884068,3400497,3400497,1.0,0.2861391402337987,0.2861391402337987
2010-04-18,8899874,8899874,2726359,2726359,1.0,0.3063368088132484,0.3063368088132484
2010-04-19,11784911,11784911,3099828,3099828,1.0,0.26303363682593783,0.26303363682593783
2010-04-20,11560656,11560656,2973855,2973855,1.0,0.25723929507114474,0.25723929507114474
2010-04-21,11339674,11339674,2855616,2855616,1.0,0.25182522883814823,0.25182522883814823
2010-04-22,11675044,11675044,3227518,3227518,1.0,0.27644589604972797,0.27644589604972797
2010-04-23,12718227,12718227,3662146,3662146,1.0,0.2879446954359283,0.2879446954359283
2010-04-24,11943182,11943182,3717490,3717490,1.0,0.31126461942889255,0.31126461942889255
2010-04-25,9563810,9563810,3236513,3236513,1.0,0.33841251551421453,0.33841251551421453
2010-04-26,12015760,12015760,3462688,3462688,1.0,0.2881788584325919,0.2881788584325919
2010-04-27,11685234,11685234,3288267,3288267,1.0,0.28140360732185593,0.28140360732185593
2010-04-28,11910652,11910652,3345033,3345033,1.0,0.2808438194651309,0.2808438194651309
2010-04-29,12394189,12394189,3460146,3460146,1.0,0.27917486170333533,0.27917486170333533
2010-04-30,13799348,13799348,3784127,3784127,1.0,0.2742250575896774,0.2742250575896774
2010-05-01,11044960,11044960,3490660,3490660,1.0,0.3160409815879822,0.3160409815879822
2010-05-02,8849097,8849097,2967822,2967822,1.0,0.3353813389094955,0.3353813389094955
2010-05-03,11287455,11287455,3290849,3290849,1.0,0.29154924648647546,0.29154924648647546
2010-05-04,10984234,10984234,3098507,3098507,1.0,0.28208676180787845,0.28208676180787845
2010-05-05,10825229,10825229,3087384,3087384,1.0,0.2852026502164527,0.2852026502164527
2010-05-06,11363447,11363447,3185244,3185244,1.0,0.2803061430215673,0.2803061430215673
2010-05-07,11798369,11798369,3258859,3258859,1.0,0.27621266973426584,0.27621266973426584
2010-05-08,10546886,10546886,2985714,2985714,1.0,0.2830896247480062,0.2830896247480062
2010-05-09,8704730,8704730,2681521,2681521,1.0,0.3080533227337321,0.3080533227337321
2010-05-10,11932836,11932836,3317694,3317694,1.0,0.2780306374779642,0.2780306374779642
2010-05-11,10662779,10662779,2811520,2811520,1.0,0.2636761016991912,0.2636761016991912
2010-05-12,10345095,10345095,2672852,2672852,1.0,0.25836901449430866,0.25836901449430866
2010-05-13,10468798,10468798,2728946,2728946,1.0,0.26067424359511,0.26067424359511
2010-05-14,11600476,11600476,3051358,3051358,1.0,0.26303730984832,0.26303730984832
2010-05-15,10904516,10904516,3089318,3089318,1.0,0.28330629254888523,0.28330629254888523
2010-05-16,8506842,8506842,2576814,2576814,1.0,0.3029107628894483,0.3029107628894483
2010-05-17,11121683,11121683,2926610,2926610,1.0,0.2631445258779629,0.2631445258779629
2010-05-18,10840391,10840391,2820752,2820752,1.0,0.2602075884532209,0.2602075884532209
2010-05-19,10777541,10777541,2789051,2789051,1.0,0.2587836130709222,0.2587836130709222
2010-05-20,10827789,10827789,2771681,2771681,1.0,0.25597848277242935,0.25597848277242935
